,ds,y
199,2022-10-30,3458.0
200,2022-11-06,3067.0
201,2022-11-13,2557.0
202,2022-11-20,1651.0
203,2022-11-27,2538.0
204,2022-12-04,2321.0
205,2022-12-11,4285.0
206,2022-12-18,4084.0
207,2022-12-25,3274.0
208,2023-01-01,2813.0
