Ciudades_Id,Ciudades_Nombre
201,TERMAS DE RIO HONDO-SANTIAGO D
202,LA BANDA SANTIAGO DEL ESTERO
203,SALTA
204,ROSARIO DE LERMA SALTA
205,CAMPO QUIJANO SALTA
206,LA BANDA SALTA DPTO CAFAYATE
207,GENERAL GUEMES SALTA
208,CAMPO SANTO -SALTA
209,SAN PEDRO JUJUY
210,INGENIO LEDESMA JUJUY
211,ORAN SALTA
212,PICHANAL SALTA
213,TARTAGAL-SALTA
214,GENERAL ENRRIQUE MOSCONI SALTA
215,SAN SALVADOR DE JUJUY-JUJUY
216,MONTE RICO JUJUY
217,PALPALA JUJUY
218,COLORADOS JUJUY
219,CATAMARCA
220,BELEN CORDOBA (NO LO HACEN)
221,POMPEYA
222,CORDOBA 
223,CERRO DE LAS ROSAS CORDOBA SUC
224,MALAGUEÑO-CORDOBA
225,VILLA ALLENDE-CORDOBA
226,UNQUILLO-CORDOBA
227,RIO CEBALLOS CORDOBA
228,CORONEL OLMEDO-COR
229,FERREYRA CORDOBA SUC 20
230,ARGUELLO/LOS BOULEVARES CORDOB
231,VILLA CARLOS PAZ-CORDOBA
232,TANTI-CORDOBA
233,BIALET MASSE - CBA
234,COSQUIN CORDOBA
235,LA FALDA CORDOBA
236,LA CUMBRE CORDOBA DPTO PUNILLA
237,LOS COCOS-CORDOBA
238,ALTA GRACIA CORDOBA
239,VILLA GENERAL BELGRANO-CORDOBA
240,DEAN FUNES CORDOBA
241,ALTO VERDE-CORDOBA
242,JESUS MARIA CORDOBA
243,COLONIA CAROYA CORDOBA
244,VILLA DEL TOTORAL-CORDOBA
245,SAN FRANCISCO-RAYO CORTADO COR
246,CRUZ DEL EJE CORDOBA
247,LAS HIGUERAS CORDOBA LA PLAYA
248,LA RIOJA
249,NONOGASTA LA RIOJA
250,SAN JUAN
251,SANTA LUCIA SAN JUAN
252,CHIMBAS- SAN JUAN
253,LAS CHACRITAS SAN JUAN
254,RAWSON SAN JUAN
255,VILLA KRAUSE-SAN JUAN
256,POCITO ABERASTAIN SAN JUAN
257,POCITO-RINCONADA SAN JUAN
258,SAN MARTIN- SAN JUAN
259,MENDOZA
260,GODOY CRUZ-MENDOZA
261,CHACRAS CORIA MENDOZA
262,LUJAN DE CUYO MENDOZA
263,MAIPU MENDOZA
264,CORONEL DORREGO MENDOZA
265,VILLA NUEVA DE GUAYMAYEN
266,COLONIA SEGIVIA/RODEO DE LA CR
267,LAVALLE MENDOZA
